Vendor,Title,Original Price,Sale Price,Image URL,Product URL
Adidas,Classic Badge Of Sport Backpack HG0358,"590,000₫","345,000₫",https://product.hstatic.net/1000031726/product/hg0358_0_24c30d425efb453aa3fedd51f94fccb3.jpg,https://balocenter.com/products/hg0358
Nike,Sportswear All Access Soleday Backpack BA5532-011,"750,000₫","395,000₫",https://product.hstatic.net/1000031726/product/soe43b_1_f275edb0c0ee4f4abf67778915d5fc5a.jpg,https://balocenter.com/products/ba5532-011
Adidas,Ball Daypack ADP50PK 27L Backpack,"590,000₫","355,000₫",https://product.hstatic.net/1000031726/product/adidas_4_53f179ec923243149bcb78cff0feb14e.jpg,https://balocenter.com/products/adp50pk
HYPER,"Balo Định Vị HyperPack Pro 16"" Backpack with Apple® Find My™ Compatible Location Module",N/A,"5,100,000₫",https://product.hstatic.net/1000031726/product/hyper_hyperpack_pro_16_00_53abd17b6f5f4c5eb051043046a8bc1f.jpg,https://balocenter.com/products/hp20p2-bk
Solo,Voyage Briefcase Grey NOM301-10,"1,750,000₫","1,487,500₫",https://product.hstatic.net/1000031726/product/nom301-10_voyage_briefcase_1_36244deec30344f38051b2522eee018d.jpg,https://balocenter.com/products/nom301-10
Nike,MLB NY Yankees Legacy91 White Logo CZ3023-427,"480,000₫","329,000₫",https://product.hstatic.net/1000031726/product/nik_x_mlb_19_859b7c0c4a804560a0d0ac640df762bb.jpg,https://balocenter.com/products/cz3023-427
Nike,MLB NY Yankees Legacy91 Black Logo CZ3023-011,"480,000₫","329,000₫",https://product.hstatic.net/1000031726/product/nik_x_mlb_21_b62d218b06024ec7bafd1fb3d2f62cfe.jpg,https://balocenter.com/products/cz3023-011
Nike,MLB LA Legacy91 White Logo CZ3004-010,"480,000₫","329,000₫",https://product.hstatic.net/1000031726/product/nik_x_mlb_20_5ac4724af6b4431e81a020ae7c8c368d.jpg,https://balocenter.com/products/cz3004-010
Nike,MLB LA Legacy91 Black Logo CZ3004-011,"480,000₫","329,000₫",https://product.hstatic.net/1000031726/product/nik_x_mlb_22_0e74687a6057452e96cdd5c280f4aa25.jpg,https://balocenter.com/products/cz3004-011
Nike,Utility 2.0 Gymsack 17L HF0655-010,"1,439,000₫","449,000₫",https://product.hstatic.net/1000031726/product/hf0655-010_11_ca522339560e49a7aca48cd8d4a62fd5.jpg,https://balocenter.com/products/hf0655-010
Nike,Jordan Jumpman Classic99 Metal Cap White CW6410-100,"490,000₫","349,000₫",https://product.hstatic.net/1000031726/product/non_jordan_16_33af5e14cf724432b22d47c24b03cac4.jpg,https://balocenter.com/products/cw6410-100
Nike,Jordan Jumpman Classic99 Metal Cap Red CW6410-657,"490,000₫","349,000₫",https://product.hstatic.net/1000031726/product/non_jordan_13_4e7d2a1ddac34b1ab0db1fcc36581aa4.jpg,https://balocenter.com/products/cw6410-657
Nike,Jordan Jumpman Classic99 Metal Cap Navy CW6410-492,"490,000₫","349,000₫",https://product.hstatic.net/1000031726/product/non_jordan_15_ddc5ddd58fc54126b76a3459890824f9.jpg,https://balocenter.com/products/cw6410-492
Adidas,Essentials Sling Crossbody Bag GB4316,"399,000₫","295,000₫",https://product.hstatic.net/1000031726/product/gb4316_00_f763d11a6cc34cdfbbaa587a93d9fe03.jpg,https://balocenter.com/products/gb4316
Adidas,Zaidel 68242 32L Backpack,"685,000₫","439,000₫",https://product.hstatic.net/1000031726/product/zaidel_23_61076d8e54c34d89a16c039858b41e3a.jpg,https://balocenter.com/products/zaidel-68242
